High,Low,Close,Po
318.600006,308.700012,318.600006,0
319.559998,313.299988,315.839996,0
316.380005,312.75,316.149994,0
315.660004,308.730011,310.570007,0
310.290009,306.350006,307.779999,0
309.380005,304.920013,305.820007,0
307.48999,305.089996,305.98999,0
308.339996,304.709991,306.390015,0
311.910004,305.459991,311.450012,0
318.910004,310.820007,312.329987,0
316.359985,308.399994,309.290009,0
306.959991,299.450012,301.910004,0
302.470001,297.76001,300,0
301.480011,297.149994,300.029999,0
304.190002,297,302,0
308.540009,304.160004,307.820007,0
306.5,297.640015,302.690002,0
306.570007,300.929993,306.48999,0
308.579987,304.649994,305.549988,0
307.459991,303.26001,303.429993,0
309.380005,305.23999,309.059998,0
309.040009,305.619995,308.899994,0
312.390015,307.380005,309.910004,0
316.890015,311.25,314.549988,0
314.230011,310,312.899994,0
320.160004,313.380005,318.690002,0
320.5,314.75,315.529999,0
316.799988,313.339996,316.350006,0
320.570007,316.600006,320.369995,0
321.320007,317.720001,318.929993,0
318.420013,315.790009,317.640015,0
318.519989,314.25,314.859985,0
315.540009,307.75,308.299988,0
307.23999,303.859985,305.230011,0
310.01001,304.359985,309.869995,0
312.730011,306.850006,310.420013,0
312.829987,307.5,311.299988,0
312.549988,307.709991,311.899994,0
313.679993,309.579987,310.950012,0
311.730011,308.339996,309.170013,0
309.51001,306.809998,307.329987,0
311.859985,305.790009,311.519989,0
312.670013,306.380005,310.570007,0
312.600006,308.299988,311.859985,0
311.549988,305.920013,308.51001,0
308.799988,305.600006,308.429993,0
314.149994,306.630005,312.970001,0
313.410004,308.01001,308.480011,0
311.420013,306.98999,307.209991,0
309.980011,305.279999,309.890015,0
313.73999,309.619995,313.73999,0
314.100006,309.040009,310.790009,0
310.369995,308.279999,309.630005,0
310.200012,306.869995,308.179993,0
308.410004,305.480011,308.23999,0
307.299988,300.5,302.720001,0
305.269989,301.769989,303.160004,0
305.559998,300.25,303.070007,0
305.619995,300.01001,304.019989,0
305.779999,302.01001,304.660004,0
306.149994,303.410004,305.179993,0
305.619995,302.079987,304.619995,0
308.100006,301.450012,307.75,0
312.660004,308.5,312.450012,0
317.290009,312.429993,316.970001,0
316.5,310.230011,311.119995,0
312.679993,309.25,311.369995,0
313.179993,303.940002,304.820007,0
306.720001,301.920013,303.630005,0
306.589996,300.76001,302.880005,0
307.549988,301.679993,305.329987,0
300.549988,294.899994,297.880005,0
304.429993,295.359985,302.01001,0
301.299988,292.420013,293.51001,0
301.51001,295.059998,301.059998,0
305.630005,302.25,303.850006,0
307.049988,299.649994,299.730011,0
302.079987,296.299988,298.369995,0
299.5,293.390015,298.920013,0
303.209991,298.970001,302.140015,0
302.720001,300.589996,302.320007,0
305.380005,303.359985,305.299988,0
307.470001,302.579987,305.079987,0
308.809998,304.98999,308.769989,0
311.5,308.23999,310.309998,0
311,307.070007,309.070007,0
311.070007,307.850006,310.390015,0
313.220001,309.049988,312.51001,0
313.700012,310.329987,312.619995,0
315.940002,311.769989,313.700012,0
316.920013,313.720001,314.549988,0
318.809998,313.26001,318.049988,0
321.880005,318.119995,319.73999,0
323.980011,319,323.790009,0
325.720001,322.5,324.630005,0
324.549988,322.76001,323.089996,0
324.369995,321.320007,323.820007,0
324.850006,321.609985,324.329987,0
326.399994,324.299988,326.049988,105.8
327.100006,324.109985,324.339996,99.04
323.73999,319,320.529999,83.99
326.910004,322.109985,326.230011,106.51
328.809998,325.190002,328.549988,111.06
331.839996,328.570007,330.170013,103.72
330.25,322.76001,325.859985,89.25
328.070007,323.059998,323.220001,80.39
325.98999,317.410004,320,69.58
325.160004,322.619995,323.880005,82.6
330.690002,325.790009,326.140015,90.19
326.880005,323.480011,324.869995,85.93
326.160004,320.149994,322.98999,79.62
322.959991,319.809998,322.640015,78.44
324.23999,320.540009,322.48999,77.94
323.829987,320.130005,323.529999,81.43
324.690002,322.359985,323.75,82.17
328.26001,324.820007,327.390015,94.39
329.980011,325.850006,329.76001,102.34
333.940002,329.119995,330.390015,101.89
331.48999,328.350006,329.130005,97.77
329.269989,322.970001,323.109985,78.06
323,319.559998,320.200012,68.53
320.559998,317.709991,319.019989,64.66
322.630005,319.670013,320.600006,69.84
322.470001,319,322.190002,75.04
322.410004,319.390015,321.079987,71.41
323.220001,319.529999,323.119995,78.09
330.670013,324.420013,329.480011,98.91
330.890015,327.570007,328.579987,95.97
334.160004,328.679993,333.410004,113.18
335.820007,331.429993,335.420013,112.32
336.320007,334.100006,335.950012,105.06
